B525_rep1,V525_rep1,frac_retained_post_gate_rep1,total_events_rep1,well,B525_rep2,V525_rep2,frac_retained_post_gate_rep2,total_events_rep2,B525_mean,B525_std,V525_mean,V525_std,525_mean,525_std
0.9917587939698493,2.13748743718593,0.6818986927475404,103882.0,A01,1.1123618090452263,2.13748743718593,0.5255388176986534,122676.0,1.0520603015075378,0.06030150753768848,2.13748743718593,0.0,1.5947738693467337,0.06030150753768848
2.197788944723618,1.655075376884422,0.7603178696619769,104697.0,A02,2.2279396984924627,1.655075376884422,0.7271159079378258,108405.0,2.2128643216080404,0.015075376884422287,1.655075376884422,0.0,1.9339698492462312,0.015075376884422287
1.896281407035176,1.6852261306532665,0.737154866294659,110392.0,A03,1.9867336683417087,1.7455276381909548,0.6932494624802317,112554.0,1.9415075376884423,0.045226130653266416,1.7153768844221107,0.03015075376884413,1.8284422110552765,0.0543550443537285
2.288241206030151,1.805829145728643,0.7485796931570041,105787.0,A04,2.2279396984924627,1.8359798994974876,0.6852510978892195,112944.0,2.258090452261307,0.03015075376884413,1.8209045226130653,0.015075376884422287,2.039497487437186,0.033709567499996825
2.288241206030151,1.383718592964824,0.7713419621806284,103915.0,A05,2.288241206030151,1.3535678391959798,0.6339706772089477,120657.0,2.288241206030151,0.0,1.3686432160804018,0.015075376884422065,1.8284422110552763,0.015075376884422065
2.378693467336683,1.4741708542713567,0.7567567567567568,104784.0,A06,2.348542713567839,1.4138693467336685,0.7031185884283956,112102.0,2.363618090452261,0.015075376884421843,1.4440201005025126,0.03015075376884413,1.9038190954773868,0.03370956749999663
1.896281407035176,1.5043216080402009,0.748615683926968,106912.0,A07,2.13748743718593,1.7153768844221111,0.7410851271560742,107545.0,2.016884422110553,0.12060301507537696,1.609849246231156,0.10552763819095512,1.8133668341708544,0.1602534544633367
0.0,0.026934673366834527,0.6042512947534339,111025.0,A09,0.7505527638190954,1.7153768844221111,0.715744773321985,110443.0,0.7505527638190954,0.08940301507537661,1.7153768844221111,0.04470150753768863,1.2329648241206033,0.09995560955099043
0.9013065326633165,2.0168844221105533,0.767756823727467,105734.0,A10,1.0219095477386935,2.2279396984924627,0.6586279169699467,114031.0,0.961608040201005,0.06030150753768848,2.122412060301508,0.10552763819095468,1.5420100502512564,0.12154157409495293
2.4691457286432157,1.896281407035176,0.7747410203381342,107827.0,A11,2.4992964824120603,1.896281407035176,0.7483848873586197,108042.0,2.484221105527638,0.015075376884422287,1.896281407035176,0.0,2.1902512562814067,0.015075376884422287
2.348542713567839,2.13748743718593,0.691750038901958,109249.0,B01,2.348542713567839,2.13748743718593,0.7302115987460815,107184.0,2.348542713567839,0.0,2.13748743718593,0.0,2.2430150753768845,0.0
2.2580904522613063,1.896281407035176,0.7628981171103785,108291.0,B02,2.2580904522613063,1.8359798994974876,0.7319306792614217,107558.0,2.2580904522613063,0.0,1.8661306532663318,0.03015075376884413,2.0621105527638193,0.03015075376884413
2.288241206030151,1.655075376884422,0.7627720253969459,105367.0,B03,2.288241206030151,1.655075376884422,0.7303973167294071,112102.0,2.288241206030151,0.0,1.655075376884422,0.0,1.9716582914572864,0.0
2.1676381909547735,1.5043216080402009,0.7529335010951116,107295.0,B04,2.13748743718593,1.4440201005025126,0.685966146199653,106635.0,2.1525628140703517,0.015075376884421843,1.4741708542713567,0.03015075376884413,1.8133668341708542,0.03370956749999663
2.1073366834170852,1.6852261306532665,0.7409330316487189,106513.0,B05,2.0771859296482407,1.6249246231155778,0.7334559510027262,107108.0,2.092261306532663,0.015075376884422287,1.6550753768844222,0.03015075376884435,1.8736683417085427,0.033709567499997026
1.9867336683417087,1.5344723618090454,0.7490974231776216,108855.0,B06,1.9565829145728642,1.5043216080402009,0.6840122941354132,112574.0,1.9716582914572864,0.015075376884422287,1.5193969849246232,0.015075376884422287,1.7455276381909548,0.021319802447835854
2.0771859296482407,1.383718592964824,0.7657818693735413,107972.0,B07,2.0168844221105533,1.3535678391959798,0.7168133620417834,111001.0,2.047035175879397,0.030150753768843686,1.3686432160804018,0.015075376884422065,1.7078391959798993,0.03370956749999633
2.197788944723618,1.6249246231155778,0.7675840101013,104541.0,B08,1.896281407035176,1.3535678391959798,0.7349714992874822,106664.0,2.047035175879397,0.1507537688442211,1.6249246231155778,0.04470150753768863,1.8359798994974874,0.1572416089871853
2.2580904522613063,1.1726633165829146,0.7665098867344979,104180.0,B09,2.1073366834170852,1.1726633165829146,0.7343470403375858,112327.0,2.182713567839196,0.07537688442211055,1.1726633165829146,0.0,1.6776884422110552,0.07537688442211055
2.1676381909547735,1.7153768844221111,0.7628691103445662,105524.0,B11,2.1676381909547735,1.6852261306532665,0.7295926864925885,108074.0,2.1676381909547735,0.0,1.7003015075376888,0.015075376884422287,1.9339698492462312,0.015075376884422287
2.4088442211055274,2.0771859296482407,0.6234402028785919,119086.0,C01,2.348542713567839,2.1073366834170852,0.7327795181621541,107256.0,2.3786934673366833,0.03015075376884413,2.092261306532663,0.015075376884422287,2.235477386934673,0.033709567499996825
2.13748743718593,1.5043216080402009,0.7388742468208964,112689.0,C02,0.0,0.0,0.00016787778497254,41697.0,2.13748743718593,0.08940301507537661,1.5043216080402009,0.04470150753768863,1.8209045226130653,0.09995560955099043
2.13748743718593,1.4741708542713567,0.7442929799362223,110697.0,C03,0.0,0.0,0.000595214475616047,25201.0,2.13748743718593,0.08940301507537661,1.4741708542713567,0.04470150753768863,1.8058291457286433,0.09995560955099043
